q-код	Артикул	Раздел	Тип	Производитель	Наименование	Название	Коллекция	Размер	Цвет	Артикулы связанных товаров	Вес упаковки	Плиток в упаковке	Метраж упаковки	Единица измерения	Изображение	Интерьеры	Домус	Цена	Описание Товара	Назначение	Тип поверхности	Рисунок	Оформление															
q15855	STG/F506/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F506/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F506-17009.jpg			184,08		Декоративные элементы																		
q15856	STG/F507/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F507/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F507-17009.jpg			184,08		Декоративные элементы																		
q15857	STG/F508/17009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F508/17009 Авеллино 15*15 декор	Авеллино	Неаполитанская коллекция	15*15			8,1000	38	0,0000	шт	STG-F508-17009.jpg			184,08		Декоративные элементы																		
q15862	STG/A509/16004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/A509/16004 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-A509-16004.jpg			134,52		Декоративные элементы																		
q15859	STG/C509/16006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/C509/16006 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-C509-16006.jpg			134,52		Декоративные элементы																		
q15860	STG/D509/16007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/D509/16007 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-D509-16007.jpg			134,52		Декоративные элементы																		
q15861	STG/E509/16008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/E509/16008 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-E509-16008.jpg			134,52		Декоративные элементы																		
q15858	STG/F509/16009	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	STG/F509/16009 Авеллино 7.4*15 декор	Авеллино	Неаполитанская коллекция	7,4*15			5,6000	40	0,0000	шт	STG-F509-16009.jpg			134,52		Декоративные элементы																		
q15875	BLD004	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	BLD004 Багет Авеллино белый 15*3 бордюр	Авеллино	Неаполитанская коллекция	15*3	белый		3,7200	40	0,0000	шт	BLD004.jpg			113,28		Декоративные элементы																		
q15876	BLD005	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	BLD005 Багет Авеллино серый 15*3 бордюр	Авеллино	Неаполитанская коллекция	15*3	серый		3,7200	40	0,0000	шт	BLD005.jpg			113,28		Декоративные элементы																		
q15877	BLD006	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	BLD006 Багет Авеллино коричневый 15*3 бордюр	Авеллино	Неаполитанская коллекция	15*3	коричневый		3,7200	40	0,0000	шт	BLD006.jpg			113,28		Декоративные элементы																		
q15878	BLD007	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	BLD007 Багет Авеллино голубой 15*3 бордюр	Авеллино	Неаполитанская коллекция	15*3	голубой		3,7200	40	0,0000	шт	BLD007.jpg			113,28		Декоративные элементы																		
q15879	BLD008	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	BLD008 Багет Авеллино фисташковый 15*3 бордюр	Авеллино	Неаполитанская коллекция	15*3	фисташковый		3,7200	40	0,0000	шт	BLD008.jpg			113,28		Декоративные элементы																		
q15863	5250/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5250/9 Авеллино голубой 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	голубой		1,2000	42	0,0000	шт	5250-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15864	5251/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5251/9 Авеллино чёрный 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	черный		1,2000	42	0,0000	шт	5251-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15865	5252/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5252/9 Авеллино белый 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	белый		1,2000	42	0,0000	шт	5252-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15866	5253/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5253/9 Авеллино серый 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	серый		1,2000	42	0,0000	шт	5253-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15867	5254/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5254/9 Авеллино коричневый 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	коричневый		1,2000	42	0,0000	шт	5254-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15868	5255/9	Неаполитанская коллекция	Декоративные элементы	Керама Марацци	5255/9 Авеллино фисташковый 4.9*4.9 вставка	Авеллино	Неаполитанская коллекция	4,9*4,9	фисташковый		1,2000	42	0,0000	шт	5255-9.jpg			28,32		Декоративные элементы	глянцевая																	
q15810	16004	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16004 Авеллино голубой 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	голубой		13,2813	96	1,0700	кв.м	16004.jpg	avellino.jpg		1049,02		Плитка для ванной	глянцевая	моноколор	avellino1.jpg															
q15812	16006	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16006 Авеллино белый 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	белый		13,2813	96	1,0700	кв.м	16006.jpg			1049,02		Плитка для ванной	глянцевая	моноколор	avellino2.jpg															
q15813	16007	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16007 Авеллино серый 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	серый		13,2813	96	1,0700	кв.м	16007.jpg			1049,02		Плитка для ванной	глянцевая	моноколор	avellino3.jpg															
q15814	16008	Неаполитанская коллекция	Настенная плитка	Керама Марацци	16008 Авеллино коричневый 7.4*15 керамическая плитка	Авеллино	Неаполитанская коллекция	7,4*15	коричневый		13,2813	96	1,0700	кв.м	16008.jpg			1049,02		Плитка для ванной	глянцевая	моноколор	avellino4.jpg															
